Date,Open,High,Low,Close,GAP up/down,Range,O-C,C-C,LOD>P.Close,P.Close>High,,,
1/24/20,"3,333.10","3,333.18","3,281.53","3,295.47",7.56,51.65,-37.63,-30.07,-44.01,-7.64,,,
1/27/20,"3,247.16","3,258.85","3,234.50","3,243.63",-48.31,24.35,-3.53,-51.84,-60.97,36.62,,,
1/28/20,"3,255.35","3,285.78","3,253.22","3,276.24",11.72,32.56,20.89,32.61,9.59,-42.15,,,
1/29/20,"3,289.46","3,293.47","3,271.89","3,273.40",13.22,21.58,-16.06,-2.84,-4.35,-17.23,,,
1/30/20,"3,256.45","3,285.91","3,242.80","3,283.66",-16.95,43.11,27.21,10.26,-30.6,-12.51,,,
1/31/20,"3,282.33","3,282.33","3,214.68","3,225.52",-1.33,67.65,-56.81,-58.14,-68.98,1.33,,,
2/3/20,"3,235.66","3,268.44","3,235.66","3,248.92",10.14,32.78,13.26,23.4,10.14,-42.92,,,
2/4/20,"3,280.61","3,306.92","3,280.61","3,297.59",31.69,26.31,16.98,48.67,31.69,-58,,,
2/5/20,"3,324.91","3,337.58","3,313.75","3,334.69",27.32,23.83,9.78,37.1,16.16,-39.99,,,
2/6/20,"3,344.92","3,347.96","3,334.39","3,345.78",10.23,13.57,0.86,11.09,-0.3,-13.27,,,
2/7/20,"3,335.54","3,341.42","3,322.12","3,327.71",-10.24,19.3,-7.83,-18.07,-23.66,4.36,,,
2/10/20,"3,318.28","3,352.26","3,317.77","3,352.09",-9.43,34.49,33.81,24.38,-9.94,-24.55,,,
2/11/20,"3,365.87","3,375.63","3,352.72","3,357.75",13.78,22.91,-8.12,5.66,0.63,-23.54,,,
2/12/20,"3,370.50","3,381.47","3,369.72","3,379.45",12.75,11.75,8.95,21.7,11.97,-23.72,,,
2/13/20,"3,365.90","3,385.09","3,360.52","3,373.94",-13.55,24.57,8.04,-5.51,-18.93,-5.64,,,
2/14/20,"3,378.08","3,380.69","3,366.15","3,380.16",4.14,14.54,2.08,6.22,-7.79,-6.75,,,
2/18/20,"3,369.04","3,375.01","3,355.61","3,370.29",-11.12,19.4,1.25,-9.87,-24.55,5.15,,,
2/19/20,"3,380.39","3,393.52","3,378.83","3,386.15",10.1,14.69,5.76,15.86,8.54,-23.23,,,
2/20/20,"3,380.45","3,389.15","3,341.02","3,373.23",-5.7,48.13,-7.22,-12.92,-45.13,-3,,,
2/21/20,"3,360.50","3,360.76","3,328.45","3,337.75",-12.73,32.31,-22.75,-35.48,-44.78,12.47,,,
2/24/20,"3,257.61","3,259.81","3,214.65","3,225.89",-80.14,45.16,-31.72,-111.86,-123.1,77.94,,,
2/25/20,"3,238.94","3,246.99","3,118.77","3,128.21",13.05,128.22,-110.73,-97.68,-107.12,-21.1,,,
2/26/20,"3,139.90","3,182.51","3,108.99","3,116.39",11.69,73.52,-23.51,-11.82,-19.22,-54.3,,,
2/27/20,"3,062.54","3,097.07","2,977.39","2,978.76",-53.85,119.68,-83.78,-137.63,-139,19.32,,,
2/28/20,"2,916.90","2,959.72","2,855.84","2,954.22",-61.86,103.88,37.32,-24.54,-122.92,19.04,,,
3/2/20,"2,974.28","3,090.96","2,945.19","3,090.23",20.06,145.77,115.95,136.01,-9.03,-136.74,,,
3/3/20,"3,096.46","3,136.72","2,976.63","3,003.37",6.23,160.09,-93.09,-86.86,-113.6,-46.49,,,
3/4/20,"3,045.75","3,130.97","3,034.38","3,130.12",42.38,96.59,84.37,126.75,31.01,-127.6,,,
3/5/20,"3,075.70","3,083.04","2,999.83","3,023.94",-54.42,83.21,-51.76,-106.18,-130.29,47.08,,,
3/6/20,"2,954.20","2,985.93","2,901.54","2,972.37",-69.74,84.39,18.17,-51.57,-122.4,38.01,,,
3/9/20,"2,863.89","2,863.89","2,734.43","2,746.56",-108.48,129.46,-117.33,-225.81,-237.94,108.48,,,
3/10/20,"2,813.48","2,882.59","2,734.00","2,882.23",66.92,148.59,68.75,135.67,-12.56,-136.03,,,
3/11/20,"2,825.60","2,825.60","2,707.22","2,741.38",-56.63,118.38,-84.22,-140.85,-175.01,56.63,,,
3/12/20,"2,630.86","2,660.95","2,478.86","2,480.64",-110.52,182.09,-150.22,-260.74,-262.52,80.43,,,
3/13/20,"2,569.99","2,711.33","2,492.37","2,711.02",89.35,218.96,141.03,230.38,11.73,-230.69,,,
